,Unnamed: 0,open_order_id,closing_order_id,option_symbol,position_id
0,0,11563443,11572245,AAPL240524C00195000,AAPL-CDBFC1D-2024-05-20T15-01
1,1,11563463,11572248,PYPL240524C00066000,PYPL-CDBFC1D-2024-05-20T15-01
2,2,11564385,11572256,PYPL240524C00067000,PYPL-CDBFC1D-2024-05-20T16-01
3,3,11565432,11572263,PYPL240524C00065000,PYPL-CDBFC1D-2024-05-20T17-01
4,4,11566400,11572268,PYPL240524C00067000,PYPL-CDBFC1D-2024-05-20T18-01
5,5,11566397,11572279,TSLA240524C00180000,TSLA-CDBFC1D-2024-05-20T18-01
6,6,11564381,11572282,PYPL240524C00065000,PYPL-CDBFC1D-2024-05-20T16-01
7,7,11564383,11572306,PYPL240524C00066000,PYPL-CDBFC1D-2024-05-20T16-01
8,8,11562441,11572311,PYPL240524C00065000,PYPL-CDBFC1D-2024-05-20T14-06
9,9,11562443,11572322,PYPL240524C00067000,PYPL-CDBFC1D-2024-05-20T14-06
10,10,11567160,11572325,PYPL240524C00067000,PYPL-CDBFC1D-2024-05-20T19-01
11,11,11567155,11572327,AMZN240524C00187500,AMZN-CDBFC1D-2024-05-20T19-01
12,12,11563465,11572338,PYPL240524C00067000,PYPL-CDBFC1D-2024-05-20T15-01
13,13,11567158,11572340,AMZN240524C00190000,AMZN-CDBFC1D-2024-05-20T19-01
14,14,11565435,11572345,PYPL240524C00067000,PYPL-CDBFC1D-2024-05-20T17-01
15,15,11563442,11572350,AAPL240524C00192500,AAPL-CDBFC1D-2024-05-20T15-01
16,16,11566396,11572352,AMZN240524C00190000,AMZN-CDBFC1D-2024-05-20T18-01
17,17,11564361,11572354,GOOG240524C00182500,GOOG-CDBFC1D-2024-05-20T16-01
18,18,11564362,11572358,GOOG240524C00185000,GOOG-CDBFC1D-2024-05-20T16-01
19,19,11563444,11572360,AAPL240524C00197500,AAPL-CDBFC1D-2024-05-20T15-01
20,20,11562442,11572362,PYPL240524C00066000,PYPL-CDBFC1D-2024-05-20T14-06
21,21,11566395,11572369,AMZN240524C00187500,AMZN-CDBFC1D-2024-05-20T18-01
22,22,11565434,11572373,PYPL240524C00066000,PYPL-CDBFC1D-2024-05-20T17-01
23,23,11567159,11572374,PYPL240524C00066000,PYPL-CDBFC1D-2024-05-20T19-01
24,24,11566399,11572375,PYPL240524C00066000,PYPL-CDBFC1D-2024-05-20T18-01
25,25,11566398,11572377,PYPL240524C00065000,PYPL-CDBFC1D-2024-05-20T18-01
26,26,11563461,11572380,PYPL240524C00065000,PYPL-CDBFC1D-2024-05-20T15-01
0,0,11564434,11572244,XOM240524P00116000,XOM-CDBFP1D-2024-05-20T16-01
1,1,11564406,11572247,GOOGL240524P00172500,GOOGL-CDBFP1D-2024-05-20T16-01
2,2,11563478,11572251,IWM240522P00206000,IWM-CDBFP1D-2024-05-20T15-01
3,3,11563481,11572255,GOOGL240524P00175000,GOOGL-CDBFP1D-2024-05-20T15-01
4,4,11565452,11572258,AMZN240524P00180000,AMZN-CDBFP1D-2024-05-20T17-01
5,5,11564437,11572261,TSLA240524P00167500,TSLA-CDBFP1D-2024-05-20T16-01
6,6,11563472,11572265,IWM240522P00208000,IWM-CDBFP1D-2024-05-20T15-01
7,7,11565463,11572267,AAPL240524P00185000,AAPL-CDBFP1D-2024-05-20T17-01
8,8,11565454,11572269,AMZN240524P00177500,AMZN-CDBFP1D-2024-05-20T17-01
9,9,11565450,11572272,GOOG240524P00172500,GOOG-CDBFP1D-2024-05-20T17-01
10,10,11564407,11572274,GOOGL240524P00170000,GOOGL-CDBFP1D-2024-05-20T16-01
11,11,11562461,11572277,MSFT240524P00420000,MSFT-CDBFP1D-2024-05-20T14-06
12,12,11567182,11572280,AMZN240524P00177500,AMZN-CDBFP1D-2024-05-20T19-01
13,13,11566421,11572284,DIS240524P00102000,DIS-CDBFP1D-2024-05-20T18-01
14,14,11562451,11572295,AMZN240524P00180000,AMZN-CDBFP1D-2024-05-20T14-06
15,15,11564415,11572301,AMZN240524P00180000,AMZN-CDBFP1D-2024-05-20T16-01
16,16,11565471,11572308,XOM240524P00116000,XOM-CDBFP1D-2024-05-20T17-01
17,17,11565470,11572312,XOM240524P00117000,XOM-CDBFP1D-2024-05-20T17-01
18,18,11565469,11572316,DIS240524P00100000,DIS-CDBFP1D-2024-05-20T17-01
19,19,11567200,11572323,PYPL240524P00063000,PYPL-CDBFP1D-2024-05-20T19-01
20,20,11563495,11572339,AMZN240524P00182500,AMZN-CDBFP1D-2024-05-20T15-01
21,21,11565468,11572346,DIS240524P00101000,DIS-CDBFP1D-2024-05-20T17-01
22,22,11563539,11572347,TSLA240524P00167500,TSLA-CDBFP1D-2024-05-20T15-01
23,23,11565441,11572348,IWM240522P00208000,IWM-CDBFP1D-2024-05-20T17-01
24,24,11566405,11572351,GOOGL240524P00170000,GOOGL-CDBFP1D-2024-05-20T18-01
25,25,11567175,11572356,GOOG240524P00175000,GOOG-CDBFP1D-2024-05-20T19-01
26,26,11565456,11572359,AMD240524P00162500,AMD-CDBFP1D-2024-05-20T17-01
27,27,11563516,11572361,DIS240524P00103000,DIS-CDBFP1D-2024-05-20T15-01
28,28,11563501,11572364,AMZN240524P00177500,AMZN-CDBFP1D-2024-05-20T15-01
29,29,11563520,11572378,DIS240524P00101000,DIS-CDBFP1D-2024-05-20T15-01
30,30,11565448,11572381,GOOG240524P00175000,GOOG-CDBFP1D-2024-05-20T17-01
31,31,11563497,11572382,AMZN240524P00180000,AMZN-CDBFP1D-2024-05-20T15-01
32,32,11563484,11572385,GOOGL240524P00170000,GOOGL-CDBFP1D-2024-05-20T15-01
33,33,11567191,11572387,XOM240524P00117000,XOM-CDBFP1D-2024-05-20T19-01
34,34,11566416,11572389,AAPL240524P00187500,AAPL-CDBFP1D-2024-05-20T18-01
35,35,11564430,11572392,DIS240524P00101000,DIS-CDBFP1D-2024-05-20T16-01
36,36,11564435,11572393,MSFT240524P00417500,MSFT-CDBFP1D-2024-05-20T16-01
37,37,11567193,11572397,XOM240524P00115000,XOM-CDBFP1D-2024-05-20T19-01
38,38,11564428,11572399,DIS240524P00102000,DIS-CDBFP1D-2024-05-20T16-01
39,39,11567162,11572401,QQQ240522P00452000,QQQ-CDBFP1D-2024-05-20T19-01
40,40,11562447,11572402,SPY240522P00528000,SPY-CDBFP1D-2024-05-20T14-06
41,41,11563514,11572404,AAPL240524P00185000,AAPL-CDBFP1D-2024-05-20T15-01
42,42,11563482,11572406,GOOGL240524P00172500,GOOGL-CDBFP1D-2024-05-20T15-01
43,43,11564433,11572408,XOM240524P00117000,XOM-CDBFP1D-2024-05-20T16-01
44,44,11567170,11572409,GOOGL240524P00172500,GOOGL-CDBFP1D-2024-05-20T19-01
45,45,11565460,11572413,AAPL240524P00187500,AAPL-CDBFP1D-2024-05-20T17-01
46,46,11565474,11572415,MSFT240524P00420000,MSFT-CDBFP1D-2024-05-20T17-01
47,47,11566419,11572420,BA240524P00182500,BA-CDBFP1D-2024-05-20T18-01
48,48,11566402,11572422,SPY240522P00528000,SPY-CDBFP1D-2024-05-20T18-01
49,49,11567163,11572426,SPY240522P00527000,SPY-CDBFP1D-2024-05-20T19-01
50,50,11566418,11572427,AAPL240524P00185000,AAPL-CDBFP1D-2024-05-20T18-01
51,51,11566412,11572429,AMZN240524P00177500,AMZN-CDBFP1D-2024-05-20T18-01
52,52,11567197,11572433,PYPL240524P00064000,PYPL-CDBFP1D-2024-05-20T19-01
53,53,11563474,11572449,IWM240522P00207000,IWM-CDBFP1D-2024-05-20T15-01
54,54,11563509,11572453,AAPL240524P00190000,AAPL-CDBFP1D-2024-05-20T15-01
55,55,11566401,11572455,QQQ240522P00452000,QQQ-CDBFP1D-2024-05-20T18-01
56,56,11566408,11572456,AMZN240524P00180000,AMZN-CDBFP1D-2024-05-20T18-01
57,57,11562458,11572460,DIS240524P00103000,DIS-CDBFP1D-2024-05-20T14-06
58,58,11566430,11572461,XOM240524P00116000,XOM-CDBFP1D-2024-05-20T18-01
59,59,11567203,11572464,PYPL240524P00062000,PYPL-CDBFP1D-2024-05-20T19-01
60,60,11564436,11572466,TSLA240524P00170000,TSLA-CDBFP1D-2024-05-20T16-01
61,61,11563511,11572470,AAPL240524P00187500,AAPL-CDBFP1D-2024-05-20T15-01
62,62,11564441,11572472,META240524P00467500,META-CDBFP1D-2024-05-20T16-01
63,63,11562466,11572474,TSLA240524P00167500,TSLA-CDBFP1D-2024-05-20T14-06
64,64,11564411,11572476,GOOG240524P00172500,GOOG-CDBFP1D-2024-05-20T16-01
65,65,11564432,11572477,XOM240524P00118000,XOM-CDBFP1D-2024-05-20T16-01
66,66,11565467,11572521,DIS240524P00102000,DIS-CDBFP1D-2024-05-20T17-01
67,67,11562460,11572529,DIS240524P00101000,DIS-CDBFP1D-2024-05-20T14-06
68,68,11566431,11572532,XOM240524P00115000,XOM-CDBFP1D-2024-05-20T18-01
69,69,11567185,11572534,AAPL240524P00185000,AAPL-CDBFP1D-2024-05-20T19-01
70,70,11565475,11572539,TSLA240524P00167500,TSLA-CDBFP1D-2024-05-20T17-01
71,71,11565446,11572541,GOOGL240524P00170000,GOOGL-CDBFP1D-2024-05-20T17-01
72,72,11567165,11572543,IWM240522P00207000,IWM-CDBFP1D-2024-05-20T19-01
73,73,11562463,11572545,MSFT240524P00417500,MSFT-CDBFP1D-2024-05-20T14-06
74,74,11567187,11572547,BA240524P00180000,BA-CDBFP1D-2024-05-20T19-01
75,75,11567194,11572568,MSFT240524P00417500,MSFT-CDBFP1D-2024-05-20T19-01
76,76,11564427,11572591,DIS240524P00103000,DIS-CDBFP1D-2024-05-20T16-01
77,77,11564410,11572594,GOOG240524P00175000,GOOG-CDBFP1D-2024-05-20T16-01
78,78,11567178,11572596,GOOG240524P00172500,GOOG-CDBFP1D-2024-05-20T19-01
79,79,11563538,11572597,TSLA240524P00170000,TSLA-CDBFP1D-2024-05-20T15-01
80,80,11567192,11572598,XOM240524P00116000,XOM-CDBFP1D-2024-05-20T19-01
81,81,11566426,11572599,DIS240524P00100000,DIS-CDBFP1D-2024-05-20T18-01
82,82,11567189,11572600,DIS240524P00101000,DIS-CDBFP1D-2024-05-20T19-01
83,83,11566404,11572601,GOOGL240524P00172500,GOOGL-CDBFP1D-2024-05-20T18-01
84,84,11567168,11572602,IWM240522P00206000,IWM-CDBFP1D-2024-05-20T19-01
85,85,11566428,11572603,XOM240524P00117000,XOM-CDBFP1D-2024-05-20T18-01
86,86,11565458,11572604,AAPL240524P00190000,AAPL-CDBFP1D-2024-05-20T17-01
87,87,11567190,11572605,DIS240524P00100000,DIS-CDBFP1D-2024-05-20T19-01
88,88,11564416,11572606,AMZN240524P00177500,AMZN-CDBFP1D-2024-05-20T16-01
89,89,11567180,11572607,AMZN240524P00180000,AMZN-CDBFP1D-2024-05-20T19-01
90,90,11562465,11572608,TSLA240524P00170000,TSLA-CDBFP1D-2024-05-20T14-06
91,91,11565473,11572612,XOM240524P00115000,XOM-CDBFP1D-2024-05-20T17-01
92,92,11562459,11572613,DIS240524P00102000,DIS-CDBFP1D-2024-05-20T14-06
93,93,11567184,11572614,AAPL240524P00187500,AAPL-CDBFP1D-2024-05-20T19-01
94,94,11566436,11572615,TSLA240524P00167500,TSLA-CDBFP1D-2024-05-20T18-01
95,95,11567172,11572616,GOOGL240524P00170000,GOOGL-CDBFP1D-2024-05-20T19-01
96,96,11565444,11572617,GOOGL240524P00172500,GOOGL-CDBFP1D-2024-05-20T17-01
97,97,11563517,11572618,DIS240524P00102000,DIS-CDBFP1D-2024-05-20T15-01
98,98,11564404,11572619,GOOGL240524P00175000,GOOGL-CDBFP1D-2024-05-20T16-01
99,99,11566422,11572620,DIS240524P00101000,DIS-CDBFP1D-2024-05-20T18-01
100,100,11566433,11572621,MSFT240524P00417500,MSFT-CDBFP1D-2024-05-20T18-01
101,101,11567195,11572622,TSLA240524P00167500,TSLA-CDBFP1D-2024-05-20T19-01
